Datum,Tid (UTC),Nederbörd,Kvalitet
2020-02-21,06:00:00,regn,Y
2020-02-22,18:00:00,regn,Y
2020-02-23,06:00:00,regn,Y
2020-02-25,18:00:00,regn,Y
2020-02-26,06:00:00,snowfall,Y
2020-02-27,06:00:00,snowfall,Y
2020-02-27,18:00:00,snowfall,Y
2020-02-28,06:00:00,snowfall,Y
2020-02-29,06:00:00,snöblandat regn,Y
2020-02-29,18:00:00,snöbyar,Y
2020-03-01,06:00:00,regn,Y
2020-03-01,18:00:00,regn,Y
2020-03-03,06:00:00,duggregn,Y
2020-03-04,06:00:00,regn,Y
2020-03-04,18:00:00,regn,Y
2020-03-05,06:00:00,duggregn,Y
2020-03-05,18:00:00,regn,Y
2020-03-08,06:00:00,regn,Y
2020-03-10,06:00:00,regn,Y
2020-03-10,18:00:00,regn,Y
2020-03-11,06:00:00,regn,Y
2020-03-12,18:00:00,regn,Y
2020-03-16,06:00:00,regn,Y
2020-03-16,18:00:00,regn,Y
2020-03-18,18:00:00,regnskurar,Y
2020-03-30,18:00:00,snöbyar,Y
2020-04-02,18:00:00,regnskurar,Y
2020-04-03,06:00:00,snöblandat regn,Y
2020-04-03,18:00:00,snöhagel,Y
2020-04-07,18:00:00,regnskurar,Y
2020-04-12,06:00:00,regn,Y
2020-04-13,18:00:00,snöbyar,Y
2020-04-15,06:00:00,regn,Y
2020-04-27,18:00:00,regn,Y
2020-04-28,06:00:00,snöblandat regn,Y
2020-04-28,18:00:00,regn,Y
2020-05-01,06:00:00,regnskurar,Y
2020-05-01,18:00:00,regnskurar,Y
2020-05-02,06:00:00,regn,Y
2020-05-03,18:00:00,regnskurar,Y
2020-05-04,18:00:00,regn,Y
2020-05-06,18:00:00,regnskurar,Y
2020-05-10,18:00:00,regn,Y
2020-05-11,06:00:00,regn,Y
2020-05-12,18:00:00,regn,Y
2020-05-13,06:00:00,duggregn,Y
2020-05-13,18:00:00,regn,Y
2020-05-17,18:00:00,regn,Y
2020-05-18,18:00:00,regn,Y
2020-05-19,18:00:00,regn,Y
2020-05-20,06:00:00,regn,Y
2020-05-20,18:00:00,regn,Y
2020-05-23,18:00:00,regn,Y
2020-05-24,06:00:00,regn,Y
2020-05-27,18:00:00,regn,Y
2020-05-28,06:00:00,regn,Y
2020-06-05,18:00:00,regn,Y
2020-06-06,06:00:00,regn,Y
2020-06-06,18:00:00,regn,Y
2020-06-16,06:00:00,regn,Y
2020-06-16,18:00:00,regn,Y
2020-06-17,06:00:00,regn,Y
2020-06-29,06:00:00,regn,Y
2020-06-30,06:00:00,regn,Y
2020-06-30,18:00:00,regn,Y
2020-07-01,06:00:00,regn,Y
2020-07-01,18:00:00,regn,Y
2020-07-04,06:00:00,regn,Y
2020-07-04,18:00:00,regn,Y
2020-07-05,06:00:00,regn,Y
2020-07-05,18:00:00,regn,Y
2020-07-06,18:00:00,småhagel,Y
2020-07-07,06:00:00,regnskurar,Y
2020-07-08,06:00:00,regnskurar,Y
2020-07-08,18:00:00,regn,Y
2020-07-11,06:00:00,regn,Y
2020-07-11,18:00:00,regn,Y
2020-07-12,18:00:00,regn,Y
2020-07-20,06:00:00,regn,Y
2020-07-20,18:00:00,regn,Y
2020-07-27,06:00:00,regn,Y
2020-07-28,18:00:00,regn,Y
2020-07-29,06:00:00,regn,Y
2020-07-29,18:00:00,duggregn,Y
2020-07-30,06:00:00,regn,Y
2020-07-30,18:00:00,regn,Y
2020-07-31,06:00:00,regn,Y
2020-08-22,06:00:00,regnskurar,Y
2020-08-23,06:00:00,regn,Y
2020-08-24,18:00:00,regnskurar,Y
2020-08-30,06:00:00,regn,Y
2020-08-30,18:00:00,regn,Y
2020-08-31,06:00:00,duggregn,Y
2020-08-31,18:00:00,duggregn,Y
2020-09-01,06:00:00,regn,Y
2020-09-03,06:00:00,duggregn,Y
2020-09-06,18:00:00,regn,Y
2020-09-07,06:00:00,regn,Y
2020-09-08,06:00:00,regn,Y
2020-09-09,18:00:00,regn,Y
2020-09-10,06:00:00,regn,Y
2020-09-12,18:00:00,regn,Y
2020-09-14,18:00:00,regnskurar,Y
2020-09-15,18:00:00,duggregn,Y
2020-09-25,06:00:00,regn,Y
2020-09-26,06:00:00,regn,Y
2020-09-26,18:00:00,regn,Y
2020-09-29,18:00:00,regn,Y
2020-10-01,18:00:00,regn,Y
2020-10-03,18:00:00,duggregn,Y
2020-10-04,06:00:00,duggregn,Y
2020-10-04,18:00:00,duggregn,Y
2020-10-05,06:00:00,regn,Y
2020-10-06,06:00:00,regn,Y
2020-10-06,18:00:00,regnskurar,Y
2020-10-07,06:00:00,duggregn,Y
2020-10-07,18:00:00,regnskurar,Y
2020-10-09,06:00:00,duggregn,Y
2020-10-09,18:00:00,regn,Y
2020-10-10,18:00:00,regn,Y
2020-10-11,06:00:00,regn,Y
2020-10-11,18:00:00,regn,Y
2020-10-15,06:00:00,regn,Y
2020-10-16,06:00:00,regn,Y
2020-10-16,18:00:00,regn,Y
2020-10-20,18:00:00,regn,Y
2020-10-21,06:00:00,regn,Y
2020-10-22,06:00:00,regn,Y
2020-10-22,18:00:00,regn,Y
2020-10-23,06:00:00,regn,Y
2020-10-23,18:00:00,regn,Y
2020-10-24,06:00:00,regn,Y
2020-10-24,18:00:00,regn,Y
2020-10-26,06:00:00,regn,Y
2020-10-26,18:00:00,regn,Y
2020-10-27,06:00:00,regn,Y
2020-10-28,18:00:00,regn,Y
2020-10-31,06:00:00,regn,Y
2020-10-31,18:00:00,regn,Y
2020-11-01,18:00:00,regn,Y
2020-11-02,06:00:00,regn,Y
2020-11-02,18:00:00,regn,Y
2020-11-03,06:00:00,regn,Y
2020-11-08,06:00:00,regn,Y
2020-11-09,06:00:00,regn,Y
2020-11-10,06:00:00,duggregn,Y
2020-11-11,18:00:00,regnskurar,Y
2020-11-13,06:00:00,regn,Y
2020-11-13,18:00:00,regn,Y
2020-11-14,06:00:00,regn,Y
2020-11-14,18:00:00,duggregn,Y
2020-11-17,06:00:00,regn,Y
2020-11-17,18:00:00,regn,Y
2020-11-18,06:00:00,regn,Y
2020-11-19,06:00:00,duggregn,Y
2020-11-19,18:00:00,snöblandat regn,Y
2020-11-21,18:00:00,regn,Y
2020-11-23,18:00:00,regn,Y
2020-11-24,18:00:00,regn,Y
2020-11-25,06:00:00,regn,Y
2020-11-25,18:00:00,regn,Y
2020-11-26,06:00:00,regnskurar,Y
2020-11-26,18:00:00,duggregn,Y
2020-11-28,06:00:00,regn,Y
2020-11-28,18:00:00,regn,Y
2020-11-29,06:00:00,regn,Y
2020-11-29,18:00:00,snowfall,Y
2020-11-30,06:00:00,regn,Y
2020-12-01,18:00:00,regn,Y
2020-12-02,18:00:00,regnskurar,Y
2020-12-03,06:00:00,regn,Y
2020-12-04,06:00:00,regn,Y
2020-12-04,18:00:00,regn,Y
2020-12-05,06:00:00,regn,Y
2020-12-06,18:00:00,regn,Y
2020-12-07,06:00:00,regn,Y
2020-12-09,06:00:00,regnskurar,Y
2020-12-09,18:00:00,duggregn,Y
2020-12-11,18:00:00,regn,Y
2020-12-12,06:00:00,duggregn,Y
2020-12-12,18:00:00,duggregn,Y
2020-12-13,06:00:00,duggregn,Y
2020-12-13,18:00:00,regn,Y
2020-12-14,18:00:00,duggregn,Y
2020-12-15,06:00:00,duggregn,Y
2020-12-15,18:00:00,duggregn,Y
2020-12-16,06:00:00,regn,Y
2020-12-16,18:00:00,duggregn,Y
2020-12-17,18:00:00,regn,Y
2020-12-18,06:00:00,regn,Y
2020-12-18,18:00:00,regn,Y
2020-12-20,06:00:00,regn,Y
2020-12-21,06:00:00,regn,Y
2020-12-21,18:00:00,regn,Y
2020-12-22,18:00:00,regn,Y
2020-12-23,06:00:00,regn,Y
2020-12-25,06:00:00,snowfall,Y
2020-12-25,18:00:00,snowfall,Y
2020-12-26,06:00:00,snowfall,Y
2020-12-27,06:00:00,regn,Y
2020-12-27,18:00:00,regn,Y
2020-12-28,18:00:00,duggregn,Y
2020-12-29,06:00:00,regn,Y
2020-12-29,18:00:00,regn,Y
2020-12-30,06:00:00,regn,Y
2020-12-30,18:00:00,duggregn,Y
2020-12-31,06:00:00,regn,Y
2020-12-31,18:00:00,duggregn,Y
2021-01-01,18:00:00,regn,Y
2021-01-02,06:00:00,regn,Y
2021-01-02,18:00:00,duggregn,Y
2021-01-03,18:00:00,snowfall,Y
2021-01-04,06:00:00,snowfall,Y
2021-01-04,18:00:00,snowfall,Y
2021-01-06,18:00:00,snowfall,Y
2021-01-07,06:00:00,snowfall,Y
2021-01-07,18:00:00,snowfall,Y
2021-01-08,18:00:00,snöblandat regn,Y
2021-01-10,18:00:00,snowfall,Y
2021-01-11,18:00:00,snöblandat regn,Y
2021-01-12,06:00:00,snöblandat regn,Y
2021-01-12,18:00:00,snöblandat regn,Y
2021-01-13,18:00:00,snowfall,Y
2021-01-14,06:00:00,snowfall,Y
2021-01-14,18:00:00,snowfall,Y
2021-01-15,18:00:00,snowfall,Y
2021-01-16,18:00:00,snowfall,Y
2021-01-19,18:00:00,snöblandat regn,Y
2021-01-20,06:00:00,regn,Y
2021-01-20,18:00:00,snöblandat regn,Y
2021-01-21,06:00:00,duggregn,Y
2021-01-21,18:00:00,regn,Y
2021-01-22,18:00:00,regn,Y
2021-01-25,18:00:00,snowfall,Y
2021-01-26,06:00:00,snöbyar,Y
2021-01-28,18:00:00,snowfall,Y
2021-01-29,06:00:00,snowfall,Y
2021-01-30,06:00:00,snowfall,Y
2021-02-02,06:00:00,snowfall,Y
2021-02-02,18:00:00,snowfall,Y
2021-02-03,06:00:00,snowfall,Y
2021-02-03,18:00:00,snowfall,Y
2021-02-04,06:00:00,snowfall,Y
2021-02-04,18:00:00,snowfall,Y
2021-02-05,18:00:00,snöbyar,Y
2021-02-06,06:00:00,snöbyar,Y
2021-02-07,06:00:00,snowfall,Y
2021-02-07,18:00:00,snowfall,Y
2021-02-11,06:00:00,snowfall,Y
2021-02-17,06:00:00,snowfall,Y
2021-02-19,18:00:00,regn,Y
2021-02-20,18:00:00,regn,Y
2021-02-21,06:00:00,regn,Y
2021-02-21,18:00:00,regn,Y
2021-02-22,18:00:00,duggregn,Y
2021-02-23,18:00:00,regn,Y
2021-03-07,18:00:00,regn,Y
2021-03-08,06:00:00,snowfall,Y
2021-03-10,06:00:00,snowfall,Y
2021-03-10,18:00:00,snowfall,Y
2021-03-11,18:00:00,snowfall,Y
2021-03-12,06:00:00,snöblandat regn,Y
2021-03-12,18:00:00,regn,Y
2021-03-18,18:00:00,regn,Y
2021-03-20,06:00:00,snöbyar,Y
2021-03-21,18:00:00,snöbyar,Y
2021-03-28,18:00:00,regn,Y
2021-03-29,06:00:00,regn,Y
2021-03-31,18:00:00,regn,Y
2021-04-01,06:00:00,regn,Y
2021-04-02,18:00:00,regnskurar,Y
2021-04-05,06:00:00,regn,Y
2021-04-05,18:00:00,snowfall,Y
2021-04-07,06:00:00,regn,Y
2021-04-09,06:00:00,regn,Y
2021-04-09,18:00:00,regn,Y
2021-04-10,06:00:00,regn,Y
2021-04-12,06:00:00,regn,Y
2021-04-13,18:00:00,regn,Y
2021-04-21,18:00:00,regnskurar,Y
2021-04-22,06:00:00,regn,Y
2021-04-22,18:00:00,regn,Y
2021-04-24,18:00:00,regn,Y
2021-05-05,06:00:00,regn,Y
2021-05-05,18:00:00,regn,Y
2021-05-06,06:00:00,regn,Y
2021-05-06,18:00:00,regn,Y
2021-05-07,18:00:00,regn,Y
2021-05-09,18:00:00,duggregn,Y
2021-05-10,06:00:00,regnskurar,Y
2021-05-10,18:00:00,regn,Y
2021-05-14,06:00:00,regnskurar,Y
2021-05-14,18:00:00,regn,Y
2021-05-15,06:00:00,regn,Y
2021-05-15,18:00:00,regn,Y
2021-05-17,06:00:00,regn,Y
2021-05-17,18:00:00,regn,Y
2021-05-19,18:00:00,regnskurar,Y
2021-05-21,18:00:00,regn,Y
2021-05-22,18:00:00,regn,Y
2021-05-27,06:00:00,regn,Y
2021-05-27,18:00:00,regn,Y
2021-05-28,06:00:00,regn,Y
2021-06-08,06:00:00,regn,Y
2021-06-09,06:00:00,regn,Y
2021-06-09,18:00:00,regn,Y
2021-06-12,06:00:00,regn,Y
2021-06-12,18:00:00,regn,Y
2021-06-13,06:00:00,regn,Y
2021-06-14,18:00:00,regnskurar,Y
2021-06-15,06:00:00,regn,Y
2021-06-21,06:00:00,regnskurar,Y
2021-06-23,18:00:00,regn,Y
2021-06-25,06:00:00,regn,Y
2021-06-25,18:00:00,regn,Y
2021-06-26,06:00:00,regn,Y
2021-07-01,06:00:00,regnskurar,Y
2021-07-06,06:00:00,regn,Y
2021-07-07,06:00:00,regnskurar,Y
2021-07-07,18:00:00,regn,Y
2021-07-08,06:00:00,regnskurar,Y
2021-07-10,06:00:00,regn,Y
2021-07-11,06:00:00,regnskurar,Y
2021-07-18,18:00:00,regn,Y
2021-07-28,06:00:00,regn,Y
2021-07-28,18:00:00,regn,Y
2021-07-29,18:00:00,regn,Y
2021-07-30,06:00:00,regn,Y
2021-07-30,18:00:00,duggregn,Y
2021-07-31,18:00:00,regn,Y
2021-08-01,06:00:00,regn,Y
2021-08-02,18:00:00,regn,Y
2021-08-07,18:00:00,regn,Y
2021-08-08,06:00:00,regn,Y
2021-08-08,18:00:00,regn,Y
2021-08-09,18:00:00,duggregn,Y
2021-08-10,18:00:00,duggregn,Y
2021-08-14,06:00:00,duggregn,Y
2021-08-15,06:00:00,regn,Y
2021-08-15,18:00:00,regn,Y
2021-08-16,18:00:00,regn,Y
2021-08-17,06:00:00,regn,Y
2021-08-17,18:00:00,regn,Y
2021-08-18,06:00:00,regn,Y
2021-08-18,18:00:00,regn,Y
2021-08-20,18:00:00,regnskurar,Y
2021-08-25,06:00:00,regn,Y
2021-08-25,18:00:00,regn,Y
2021-08-26,06:00:00,regn,Y
2021-08-26,18:00:00,regn,Y
2021-08-27,06:00:00,regn,Y
2021-08-27,18:00:00,regn,Y
2021-08-28,06:00:00,regn,Y
2021-08-28,18:00:00,duggregn,Y
2021-09-01,18:00:00,regn,Y
2021-09-02,06:00:00,regn,Y
2021-09-12,06:00:00,regn,Y
2021-09-12,18:00:00,regn,Y
2021-09-13,06:00:00,regn,Y
2021-09-19,06:00:00,duggregn,Y
2021-09-23,06:00:00,duggregn,Y
2021-09-23,18:00:00,regn,Y
2021-09-24,06:00:00,regn,Y
2021-09-24,18:00:00,duggregn,Y
2021-09-25,06:00:00,regn,Y
2021-09-30,18:00:00,regn,Y
2021-10-01,06:00:00,regn,Y
2021-10-01,18:00:00,regn,Y
2021-10-03,18:00:00,duggregn,Y
2021-10-04,06:00:00,duggregn,Y
2021-10-04,18:00:00,duggregn,Y
2021-10-05,06:00:00,duggregn,Y
2021-10-05,18:00:00,regn,Y
2021-10-06,06:00:00,regn,Y
2021-10-06,18:00:00,regn,Y
2021-10-11,06:00:00,regn,Y
2021-10-11,18:00:00,regn,Y
2021-10-15,06:00:00,regn,Y
2021-10-15,18:00:00,regn,Y
2021-10-19,18:00:00,duggregn,Y
2021-10-20,06:00:00,regn,Y
2021-10-20,18:00:00,regn,Y
2021-10-21,18:00:00,regn,Y
2021-10-27,06:00:00,regn,Y
2021-10-27,18:00:00,regn,Y
2021-10-28,06:00:00,regn,Y
2021-10-28,18:00:00,regn,Y
2021-11-03,06:00:00,regn,Y
2021-11-03,18:00:00,regn,Y
2021-11-04,06:00:00,duggregn,Y
2021-11-07,06:00:00,regn,Y
2021-11-07,18:00:00,regn,Y
2021-11-08,06:00:00,duggregn,Y
2021-11-08,18:00:00,snöblandat regn,Y
2021-11-14,06:00:00,regn,Y
2021-11-18,06:00:00,regn,Y
2021-11-18,18:00:00,regn,Y
2021-11-19,18:00:00,regn,Y
2021-11-21,18:00:00,småhagel,Y
2021-12-02,06:00:00,snowfall,Y
2021-12-02,18:00:00,snöbyar,Y
2021-12-10,06:00:00,regn,Y
2021-12-10,18:00:00,regn,Y
2021-12-11,06:00:00,regn,Y
2021-12-11,18:00:00,regn,Y
2021-12-14,06:00:00,duggregn,Y
2021-12-15,06:00:00,duggregn,Y
2021-12-15,18:00:00,duggregn,Y
2021-12-24,06:00:00,snowfall,Y
2021-12-29,06:00:00,snöblandat regn,Y
2021-12-29,18:00:00,snöblandat regn,Y
2021-12-31,06:00:00,regn,Y
2021-12-31,18:00:00,duggregn,Y
2022-01-01,06:00:00,duggregn,Y
2022-01-02,06:00:00,snowfall,Y
2022-01-02,18:00:00,regn,Y
2022-01-03,06:00:00,regn,Y
2022-01-03,18:00:00,regn,Y
2022-01-04,06:00:00,regn,Y
2022-01-05,18:00:00,snowfall,Y
2022-01-12,06:00:00,regn,Y
2022-01-16,18:00:00,duggregn,Y
2022-01-20,06:00:00,snowfall,Y
2022-01-27,18:00:00,regn,Y
2022-01-28,06:00:00,snöblandat regn,Y
2022-01-29,18:00:00,regn,Y
2022-01-30,06:00:00,snöblandat regn,Y
2022-01-30,18:00:00,snöblandat regn,Y
2022-02-03,06:00:00,snowfall,Y
2022-02-04,06:00:00,regn,Y
2022-02-04,18:00:00,regn,Y
2022-02-05,06:00:00,regn,Y
2022-02-06,06:00:00,regn,Y
2022-02-08,06:00:00,snowfall,Y
2022-02-08,18:00:00,snowfall,Y
2022-02-14,06:00:00,regn,Y
2022-02-14,18:00:00,regn,Y
2022-02-15,06:00:00,regn,Y
2022-02-16,06:00:00,regn,Y
2022-02-16,18:00:00,regn,Y
2022-02-17,06:00:00,regn,Y
2022-02-19,06:00:00,snowfall,Y
2022-02-19,18:00:00,snowfall,Y
2022-02-21,06:00:00,snöblandat regn,Y
2022-02-21,18:00:00,snowfall,Y
2022-02-22,06:00:00,snowfall,Y
2022-02-24,18:00:00,regn,Y
2022-02-25,06:00:00,snöblandat regn,Y
2022-03-29,18:00:00,snöhagel,Y
2022-04-01,18:00:00,snöhagel,Y
2022-04-04,06:00:00,duggregn,Y
2022-04-04,18:00:00,regn,Y
2022-04-05,06:00:00,snowfall,Y
2022-04-05,18:00:00,snowfall,Y
2022-04-07,06:00:00,snowfall,Y
2022-04-07,18:00:00,snöblandat regn,Y
2022-04-08,06:00:00,regn,Y
2022-04-08,18:00:00,snöblandat regn,Y
2022-04-09,06:00:00,snowfall,Y
2022-04-09,18:00:00,snowfall,Y
2022-04-10,06:00:00,regn,Y
2022-04-14,06:00:00,regn,Y
2022-04-14,18:00:00,regn,Y
2022-04-23,18:00:00,duggregn,Y
2022-05-02,18:00:00,regnskurar,Y
2022-05-07,06:00:00,regn,Y
2022-05-07,18:00:00,regn,Y
2022-05-10,18:00:00,duggregn,Y
2022-05-11,06:00:00,regn,Y
2022-05-11,18:00:00,regn,Y
2022-05-12,06:00:00,regn,Y
2022-05-14,06:00:00,regn,Y
2022-05-14,18:00:00,regn,Y
2022-05-15,06:00:00,regn,Y
2022-05-20,18:00:00,regn,Y
2022-05-21,06:00:00,regn,Y
2022-05-26,06:00:00,regn,Y
2022-05-26,18:00:00,regn,Y
2022-05-27,06:00:00,regn,Y
2022-05-27,18:00:00,regn,Y
2022-05-28,06:00:00,regn,Y
2022-05-28,18:00:00,regn,Y
2022-05-29,06:00:00,regn,Y
2022-05-31,06:00:00,regn,Y
2022-05-31,18:00:00,regn,Y
2022-06-01,06:00:00,regnskurar,Y
2022-06-01,18:00:00,regnskurar,Y
2022-06-02,06:00:00,regn,Y
2022-06-02,18:00:00,regn,Y
2022-06-03,18:00:00,regn,Y
2022-06-07,18:00:00,regn,Y
2022-06-08,06:00:00,regn,Y
2022-06-11,06:00:00,regn,Y
2022-06-12,18:00:00,duggregn,Y
2022-06-14,18:00:00,regn,Y
2022-06-16,18:00:00,regn,Y
2022-06-17,18:00:00,duggregn,Y
2022-06-18,06:00:00,regn,Y
2022-06-20,18:00:00,regn,Y
2022-07-01,06:00:00,regnskurar,Y
2022-07-01,18:00:00,regn,Y
2022-07-02,06:00:00,regnskurar,Y
2022-07-04,18:00:00,regn,Y
2022-07-05,18:00:00,regn,Y
2022-07-07,06:00:00,regn,Y
2022-07-07,18:00:00,regn,Y
2022-07-09,06:00:00,regn,Y
2022-07-10,18:00:00,regn,Y
2022-07-11,18:00:00,regn,Y
2022-07-14,18:00:00,regn,Y
2022-07-15,18:00:00,regn,Y
2022-07-18,18:00:00,regn,Y
2022-07-23,18:00:00,duggregn,Y
2022-07-24,06:00:00,duggregn,Y
2022-07-26,06:00:00,regn,Y
2022-07-26,18:00:00,regn,Y
2022-07-27,18:00:00,duggregn,Y
2022-07-30,06:00:00,regnskurar,Y
2022-08-03,06:00:00,regnskurar,Y
2022-08-05,06:00:00,regn,Y
2022-08-05,18:00:00,regn,Y
2022-08-06,06:00:00,regn,Y
2022-08-06,18:00:00,regn,Y
2022-08-07,18:00:00,duggregn,Y
2022-08-20,06:00:00,regn,Y
2022-08-20,18:00:00,regn,Y
2022-08-23,18:00:00,regn,Y
2022-08-24,06:00:00,regn,Y
2022-08-28,18:00:00,regn,Y
2022-08-29,06:00:00,regn,Y
2022-08-31,18:00:00,regn,Y
2022-09-01,18:00:00,regn,Y
2022-09-02,18:00:00,regnskurar,Y
2022-09-04,06:00:00,regnskurar,Y
2022-09-13,06:00:00,regn,Y
2022-09-13,18:00:00,regn,Y
2022-09-14,06:00:00,regn,Y
2022-09-14,18:00:00,regn,Y
2022-09-15,06:00:00,regn,Y
2022-09-18,06:00:00,regn,Y
2022-09-19,06:00:00,regn,Y
2022-09-27,06:00:00,regn,Y
2022-09-27,18:00:00,regn,Y
2022-09-29,06:00:00,regn,Y
2022-10-01,06:00:00,regn,Y
2022-10-01,18:00:00,regn,Y
2022-10-02,06:00:00,regn,Y
2022-10-02,18:00:00,regn,Y
2022-10-03,18:00:00,regn,Y
2022-10-05,18:00:00,duggregn,Y
2022-10-06,06:00:00,regn,Y
2022-10-07,18:00:00,duggregn,Y
2022-10-08,06:00:00,regn,Y
2022-10-11,06:00:00,regn,Y
2022-10-15,06:00:00,regn,Y
2022-10-16,06:00:00,regn,Y
2022-10-16,18:00:00,regnskurar,Y
2022-10-17,18:00:00,regn,Y
2022-10-18,06:00:00,regn,Y
2022-10-18,18:00:00,regn,Y
2022-10-22,18:00:00,regn,Y
2022-10-23,06:00:00,regn,Y
2022-10-23,18:00:00,regn,Y
2022-10-24,06:00:00,regn,Y
2022-10-24,18:00:00,regn,Y
2022-10-25,06:00:00,regn,Y
2022-10-25,18:00:00,regn,Y
2022-10-28,06:00:00,regn,Y
2022-10-28,18:00:00,regn,Y
2022-10-29,06:00:00,regn,Y
2022-11-01,06:00:00,regn,Y
2022-11-02,18:00:00,regn,Y
2022-11-05,18:00:00,regn,Y
2022-11-06,06:00:00,duggregn,Y
2022-11-06,18:00:00,duggregn,Y
2022-11-07,06:00:00,duggregn,Y
2022-11-07,18:00:00,regn,Y
2022-11-08,06:00:00,regn,Y
2022-11-08,18:00:00,regn,Y
2022-11-10,06:00:00,regn,Y
2022-11-11,06:00:00,regn,Y
2022-11-14,06:00:00,duggregn,Y
2022-11-17,18:00:00,snöblandat regn,Y
2022-11-18,06:00:00,snöblandat regn,Y
2022-11-18,18:00:00,snöblandat regn,Y
2022-11-19,18:00:00,snowfall,Y
2022-11-20,06:00:00,snowfall,Y
2022-11-20,18:00:00,snowfall,Y
2022-11-21,06:00:00,snowfall,Y
2022-11-21,18:00:00,snowfall,Y
